the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,street,segmentid,Rank,PMP_ID,NTA2020,Boro,Category,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SHAPE_Leng
"MULTILINESTRING ((-73.86179720923931 40.738868465681236, -73.86143167196887 40.73795517189547))",4,Queens,404,21,35,13,14,98 PLACE,81867,5,41122,QN0402,QN,Baseline,Corona,X,AREA OF MINIMAL FLOOD HAZARD,6,347.8195033
"MULTILINESTRING ((-74.23506000713607 40.5066850761491, -74.23528930564531 40.50664977366251))",5,Staten Island,503,51,62,24,11,AMARON LANE,457,5,79658,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,65.04862925
"MULTILINESTRING ((-74.18632048709799 40.59233501978334, -74.18550935739627 40.591911166364305))",5,Staten Island,502,50,63,24,11,BURKE AVENUE,278898,5,74410,SI0204,SI,Baseline,New Springville-Willowbrook-Bulls Head-Travis,X,AREA OF MINIMAL FLOOD HAZARD,"1,5",273.1196995
"MULTILINESTRING ((-73.81394369363255 40.727852245093516, -73.81280168291929 40.72729564432511))",4,Queens,408,24,27,16,6,KISSENA BOULEVARD,185166,3,48442,QN0801,QN,Neighborhood,"Kew Gardens Hills,Pomonok-Electchester-Hillcrest",X,AREA OF MINIMAL FLOOD HAZARD,,375.9144899
"MULTILINESTRING ((-73.85823425955347 40.723800736904614, -73.85809364154706 40.723690250251046))",4,Queens,406,29,28,"16,15",6,BURNS STREET,81951,5,44599,QN0602,QN,Baseline,Forest Hills,X,AREA OF MINIMAL FLOOD HAZARD,,56.03169169
"MULTILINESTRING ((-74.23764207516889 40.50764605690481, -74.23836111719626 40.509903785681644))",5,Staten Island,503,51,62,24,11,NANCY LANE,461,5,79535,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,846.4956696
"MULTILINESTRING ((-73.94463158316023 40.797398719415206, -73.94442935658041 40.797675234894186))",1,Manhattan,111,8,68,30,13,PARK AVENUE,9006544,4,35463,MN1102,MN,Community,East Harlem (North),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,5,115.2581771
"MULTILINESTRING ((-73.858479411659 40.73419217319778, -73.85799293785905 40.73433365665767))",4,Queens,406,29,35,16,6,62 ROAD,81985,4,43665,QN0601,QN,Community,"Rego Park,Forest Hills",X,AREA OF MINIMAL FLOOD HAZARD,6,144.3386841
"MULTILINESTRING ((-74.14592635785387 40.59890406048395, -74.14493311457929 40.59890680326636))",5,Staten Island,502,50,63,24,11,C STREET,7875,4,73824,SI0204,SI,Community,New Springville-Willowbrook-Bulls Head-Travis,X,AREA OF MINIMAL FLOOD HAZARD,,275.8267512
"MULTILINESTRING ((-74.1584876291453 40.6223039646496, -74.16048155089295 40.62258482054567))",5,Staten Island,501,49,"61,63",23,11,LUDWIG LANE,279002,4,70529,SI0107,SI,Community,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,"4,5",562.8976936
"MULTILINESTRING ((-73.76724876076678 40.75357343934417, -73.76637260287269 40.75380991325139))",4,Queens,411,23,25,11,6,50 AVENUE,185245,5,55427,QN1102,QN,Baseline,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,,257.5818044
"MULTILINESTRING ((-73.8562931419717 40.72304091112406, -73.85602851316827 40.72346520726852))",4,Queens,406,29,28,"16,15",6,67 AVENUE,82085,4,44593,QN0602,QN,Community,Forest Hills,X,AREA OF MINIMAL FLOOD HAZARD,,171.1041278
"MULTILINESTRING ((-74.1583856674624 40.621874363593115, -74.15829058226713 40.62227620739278))",5,Staten Island,501,49,"61,63",23,11,LUDWIG LANE,120560,4,70738,SI0107,SI,Community,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,5,148.7628778
"MULTILINESTRING ((-73.7263968739299 40.72621387171094, -73.72642120624005 40.72616302260645))",4,Queens,413,23,33,11,"3,5",242 STREET,185294,5,61056,QN1303,QN,Baseline,Bellerose,X,AREA OF MINIMAL FLOOD HAZARD,,19.71531987
"MULTILINESTRING ((-73.72710629120556 40.74066159287706, -73.72706567560635 40.74057931594696))",4,Queens,413,23,24,11,3,243 STREET,185291,4,61069,QN1302,QN,Community,Bellerose,X,AREA OF MINIMAL FLOOD HAZARD,,32.0194134
"MULTILINESTRING ((-73.72494288615769 40.724640532459766, -73.72506845018323 40.72424712779803))",4,Queens,413,23,33,11,"3,5",243 STREET,185296,5,61318,QN1303,QN,Baseline,Bellerose,X,AREA OF MINIMAL FLOOD HAZARD,,147.494541
"MULTILINESTRING ((-73.72264009295715 40.753568642687235, -73.72261263309197 40.75351433884634, -73.72254008527443 40.75341043527195, -73.72245115471596 40.75331363232118, -73.72234782186774 40.75322608784951, -73.72223263864286 40.75314950093108, -73.72210856885275 40.75308504033898))",4,Queens,413,23,24,11,3,LITTLE NECK PARKWAY,185350,4,60556,QN1301,QN,Community,Glen Oaks-Floral Park-New Hyde Park,X,AREA OF MINIMAL FLOOD HAZARD,,233.962404
"MULTILINESTRING ((-74.14359998265806 40.638514124677, -74.14365267818378 40.63848492794097))",5,Staten Island,501,49,61,23,11,RICHMOND TERRACE,185358,5,69985,SI0106,SI,Baseline,"Port Richmond,Mariner's Harbor-Arlington-Graniteville",X,AREA OF MINIMAL FLOOD HAZARD,"1,4",18.08419231
"MULTILINESTRING ((-74.23564719391972 40.50845634507454, -74.23534800259134 40.507548267708614))",5,Staten Island,503,51,62,24,11,JOLINE AVENUE,471,5,79344,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,341.1344738
"MULTILINESTRING ((-73.78398807607536 40.66538732337993, -73.78392277735881 40.664675417259154))",4,Queens,413,31,31,10,5,153 COURT,279490,5,63653,QN1306,QN,Baseline,Springfield Gardens (South)-Brookville,X,AREA OF MINIMAL FLOOD HAZARD,3,259.9993296
"MULTILINESTRING ((-74.24855459798162 40.51080380512085, -74.24900129599753 40.51061255518268))",5,Staten Island,503,51,62,24,11,EDEN COURT,187,5,79610,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,142.4204513
"MULTILINESTRING ((-73.95690199432812 40.590467663758915, -73.95671579325258 40.59049873386249))",3,Brooklyn,315,48,45,17,"9,11",SHEEPSHEAD BAY ROAD,114308,5,13823,BK1301,BK,Baseline,"Gravesend (East)-Homecrest,Sheepshead Bay-Manhattan Beach-Gerritsen Beach",X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2,52.93915956
"MULTILINESTRING ((-73.86693674255106 40.744934334443094, -73.86658221232867 40.744278183600166))",4,Queens,404,21,39,13,14,97 STREET,83196,5,40957,QN0402,QN,Baseline,Corona,X,AREA OF MINIMAL FLOOD HAZARD,6,258.4549144
"MULTILINESTRING ((-73.92514894089523 40.64358723873366, -73.925083717578 40.643924549396054))",3,Brooklyn,317,45,58,21,9,KINGS HIGHWAY,185479,5,16501,BK1703,BK,Baseline,East Flatbush-Rugby,X,AREA OF MINIMAL FLOOD HAZARD,5,124.2173137
"MULTILINESTRING ((-73.74414613980156 40.596476145217224, -73.74416868862386 40.5965511552372))",4,Queens,414,31,23,15,5,BEACH 9 STREET,185530,5,64827,QN1401,QN,Baseline,Far Rockaway-Bayswater,AE,,1,28.03634104
"MULTILINESTRING ((-73.93625935997899 40.8088556085834, -73.9361310724062 40.80880206600468))",1,Manhattan,111,9,68,30,13,EAST 131 STREET,185559,4,35468,MN1102,MN,Community,East Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,"3,4",40.51861299
"MULTILINESTRING ((-73.97394709322599 40.61379592731014, -73.97399231421677 40.61383504808108, -73.974056006775 40.61386372515924, -73.9741305090187 40.6138753316565, -73.97420387118143 40.61386800979744, -73.97426561014689 40.61384556374029))",3,Brooklyn,"311,312",44,48,17,10,24 AVENUE,118067,3,11966,BK1204,BK,Neighborhood,Mapleton-Midwood (West),X,AREA OF MINIMAL FLOOD HAZARD,6,100.1799164
"MULTILINESTRING ((-73.86602648126585 40.76649642329973, -73.8656892474247 40.76669598776067))",4,Queens,403,21,35,13,14,25 AVENUE,83322,5,39922,QN0302,QN,Baseline,East Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,,118.3757559
"MULTILINESTRING ((-73.7832333597835 40.7597737006238, -73.7832097790719 40.75972290365113))",4,Queens,411,19,26,11,6,201 STREET,185600,5,54593,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,19.62610898
"MULTILINESTRING ((-73.85999430481382 40.753112255698625, -73.85776785749157 40.753771427525955))",4,Queens,403,21,35,13,14,37 DRIVE,83534,5,40171,QN0303,QN,Baseline,North Corona,X,AREA OF MINIMAL FLOOD HAZARD,,661.9572219
"MULTILINESTRING ((-73.82513642519973 40.741756735731634, -73.82498971398611 40.7417637709863, -73.82484097073547 40.741760122929, -73.82469441398685 40.74174038591505, -73.82455445542368 40.74170540414638))",4,Queens,408,24,25,16,6,HORACE HARDING EXPRESSWAY,185582,5,47482,QN0706,QN,Baseline,Queensboro Hill,X,AREA OF MINIMAL FLOOD HAZARD,,164.0422867
"MULTILINESTRING ((-73.9525878694681 40.61111223922294, -73.95256553077017 40.61098718450355))",3,Brooklyn,"315,314",48,41,17,9,EAST 21 STREET,163503,5,13399,BK1502,BK,Baseline,"Midwood,Madison",X,AREA OF MINIMAL FLOOD HAZARD,5,45.98092574
"MULTILINESTRING ((-73.83539675190787 40.76534655541041, -73.83470385804948 40.765455235953546))",4,Queens,407,20,40,"11,16",6,34 AVENUE,84411,4,47969,QN0707,QN,Community,Flushing-Willets Point,X,AREA OF MINIMAL FLOOD HAZARD,"2,3",195.9793851
"MULTILINESTRING ((-73.81182063708165 40.72577823303611, -73.81083344731269 40.725754671761635))",4,Queens,408,24,25,14,6,75 ROAD,279754,5,48334,QN0801,QN,Baseline,Kew Gardens Hills,X,AREA OF MINIMAL FLOOD HAZARD,,273.7576197
"MULTILINESTRING ((-73.96081441993397 40.81845889992732, -73.96091059406615 40.81856487599208))",1,Manhattan,109,7,70,31,13,WEST 125 STREET,185876,3,34449,MN0901,MN,Neighborhood,Manhattanville-West Harlem,AE,,2,46.89794734
"MULTILINESTRING ((-73.83521288963135 40.76600680435833, -73.83514330206332 40.76572634143144))",4,Queens,407,20,40,"11,16",6,DOWNING STREET,84412,4,48075,QN0707,QN,Community,Flushing-Willets Point,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,"2,3",103.9842159
"MULTILINESTRING ((-74.23512107220678 40.506872901205945, -74.23322806024807 40.507236211468815))",5,Staten Island,503,51,62,24,11,GIEGERICH PLACE,475,5,79736,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,542.8006394
"MULTILINESTRING ((-73.96157544167615 40.81790997017937, -73.96163613619781 40.81793985085848))",1,Manhattan,109,7,"70,71",31,13,ST CLAIR PLACE,185875,3,34348,MN0901,MN,Neighborhood,"Morningside Heights,Manhattanville-West Harlem",AE,,"1,2,5",20.01865998
"MULTILINESTRING ((-73.84938134421066 40.77861483377617, -73.84884030226269 40.77860110494949))",4,Queens,407,19,27,11,14,23 AVENUE,84535,5,44714,QN0701,QN,Baseline,College Point,AE,,"1,3",149.9271285
"MULTILINESTRING ((-73.9606801710184 40.660953856904406, -73.96063189238946 40.66058668090421))",3,Brooklyn,309,40,43,"21,20",9,FLATBUSH AVENUE,109303,2,8554,BK0902,BK,Regional,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,,134.4414221
"MULTILINESTRING ((-73.9608767400238 40.66089680416811, -73.96063189238946 40.66058668090421))",3,Brooklyn,309,40,43,"21,20",9,FLATBUSH AVENUE,109171,2,8553,BK0902,BK,Regional,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,,131.8357376
"MULTILINESTRING ((-74.23512107220678 40.506872901205945, -74.23322806024807 40.507236211468815))",5,Staten Island,503,51,62,24,11,GIEGERICH PLACE,475,5,79736,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,542.8006394
"MULTILINESTRING ((-73.84960141124894 40.787032329880425, -73.84954114147583 40.785868784097055))",4,Queens,407,19,27,11,14,118 STREET,84559,5,44863,QN0701,QN,Baseline,College Point,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",424.2479351
"MULTILINESTRING ((-73.9608767400238 40.66089680416811, -73.9606801710184 40.660953856904406))",3,Brooklyn,309,40,43,"21,20",9,LINCOLN ROAD,109294,4,8634,BK0902,BK,Community,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,,58.3636228
"MULTILINESTRING ((-73.93136582180242 40.82070311758163, -73.93084985403024 40.820563253974576))",2,Bronx,204,8,77,29,15,EAST 150 STREET,185945,3,21056,BX0401,BX,Neighborhood,Concourse-Concourse Village,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD",2,151.6281324
"MULTILINESTRING ((-73.97078154326285 40.67485465925265, -73.97067340189712 40.67461402314452, -73.97064272355271 40.67450059545801, -73.97064454046343 40.674484053461164))",3,Brooklyn,355,39,52,"21,20",9,GRAND ARMY PLAZA OVAL,188024,2,80077,BK0801,BK,Regional,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,,140.9001918
"MULTILINESTRING ((-73.97047675723013 40.67336420654906, -73.97035643784997 40.67313797971809))",3,Brooklyn,355,39,52,"21,20",9,GRAND ARMY PLAZA OVAL,303173,2,80077,BK0801,BK,Regional,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,,88.92208054
"MULTILINESTRING ((-73.97064454046343 40.674484053461164, -73.97066217293211 40.67432313592754))",3,Brooklyn,355,39,52,"21,20",9,GRAND ARMY PLAZA OVAL,188025,2,80077,BK0801,BK,Regional,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,,58.83052262
"MULTILINESTRING ((-73.93136582180242 40.82070311758163, -73.93084985403024 40.820563253974576))",2,Bronx,204,8,77,29,15,EAST 150 STREET,185945,3,21056,BX0401,BX,Neighborhood,Concourse-Concourse Village,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD",2,151.6281324
"MULTILINESTRING ((-73.92875076665624 40.808780829740975, -73.92869784696148 40.808849730160354))",2,Bronx,201,8,84,29,15,LINCOLN AVENUE,185958,4,19177,BX0101,BX,Community,Mott Haven-Port Morris,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,"2,3,4",29.0648701
"MULTILINESTRING ((-73.97040734548594 40.67264721926095, -73.97000244572936 40.67263115006823))",3,Brooklyn,"306,355",39,"44,52","21,20",9,PLAZA ST WEST,29124,2,6873,BK0602,BK,Regional,"Park Slope,Prospect Park",X,AREA OF MINIMAL FLOOD HAZARD,,112.4694932
"MULTILINESTRING ((-73.96894206449439 40.672887491217054, -73.9687744415802 40.67294236736476))",3,Brooklyn,"308,355","35,39","57,52","21,20",9,EASTERN PARKWAY,253010,2,7953,BK0801,BK,Regional,"Park Slope,Prospect Heights,Prospect Park",X,AREA OF MINIMAL FLOOD HAZARD,,50.61359176
"MULTILINESTRING ((-73.9687744415802 40.67294236736476, -73.96866306101117 40.67306544470806))",3,Brooklyn,"308,355",35,57,"21,20",9,EASTERN PARKWAY,253011,2,7953,BK0801,BK,Regional,"Prospect Heights,Prospect Park",X,AREA OF MINIMAL FLOOD HAZARD,,54.45414099
"MULTILINESTRING ((-73.92027420980936 40.879028054175556, -73.92024936261546 40.87901252071017))",2,Bronx,208,11,81,34,16,EDSALL AVENUE,186007,3,23694,BX0803,BX,Neighborhood,Riverdale-Spuyten Duyvil,X,AREA OF MINIMAL FLOOD HAZARD,2,8.90180862
"MULTILINESTRING ((-74.23686451600291 40.51212183354172, -74.23711359237252 40.51206835892651))",5,Staten Island,503,51,62,24,11,EMILY COURT,483,5,79334,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,71.94668239
"MULTILINESTRING ((-74.23741401089639 40.509690881784536, -74.23729561929984 40.50920741463827))",5,Staten Island,503,51,62,24,11,HONEY LANE,482,5,79608,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,179.1883559
"MULTILINESTRING ((-73.81182063708165 40.72577823303611, -73.81083344731269 40.725754671761635))",4,Queens,408,24,25,14,6,75 ROAD,279754,5,48334,QN0801,QN,Baseline,Kew Gardens Hills,X,AREA OF MINIMAL FLOOD HAZARD,,273.7576197
"MULTILINESTRING ((-73.95302696998829 40.802533137495026, -73.95266813393657 40.803024987295245))",1,Manhattan,110,9,70,30,13,ADAM CLAYTON POWELL JR BOULEVARD,38579,3,34793,MN1001,MN,Neighborhood,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6,204.8936365
"MULTILINESTRING ((-73.81182063708165 40.72577823303611, -73.81083344731269 40.725754671761635))",4,Queens,408,24,25,14,6,75 ROAD,279754,5,48334,QN0801,QN,Baseline,Kew Gardens Hills,X,AREA OF MINIMAL FLOOD HAZARD,,273.7576197
"MULTILINESTRING ((-73.84651248157911 40.78682428287268, -73.84652900636459 40.78685215471696, -73.8465564479103 40.78687627879494, -73.84659192548017 40.786893309499916, -73.84663064106867 40.78690157811217))",4,Queens,407,19,27,11,14,BEECH COURT CIRCLE,84730,5,44700,QN0701,QN,Baseline,College Point,X,AREA OF MINIMAL FLOOD HAZARD,,45.51302765
"MULTILINESTRING ((-73.96078603861983 40.709399473208826, -73.95979663881033 40.70906372754847))",3,Brooklyn,301,"34,33",50,"18,26",7,BROADWAY,30747,3,800,BK0102,BK,Neighborhood,Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,,300.3418208
"MULTILINESTRING ((-73.9608247527028 40.70916845126483, -73.95979663881033 40.70906372754847))",3,Brooklyn,301,"34,33",50,"18,26",7,BROADWAY,30749,3,720,BK0102,BK,Neighborhood,Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,,287.5795285
"MULTILINESTRING ((-73.95705662460716 40.68949332756875, -73.95722195182869 40.6892002999457))",3,Brooklyn,303,"35,36",57,25,8,FRANKLIN AVENUE,30816,4,3055,BK0301,BK,Community,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,,116.1875699
"MULTILINESTRING ((-73.95708991541294 40.70714067217548, -73.95671584396803 40.70711141859057))",3,Brooklyn,301,33,50,26,7,DIVISION AVENUE,109325,4,907,BK0103,BK,Community,South Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,,104.2579487
"MULTILINESTRING ((-73.91351854885033 40.84523209824581, -73.91338293982325 40.845187232095974))",2,Bronx,"205,204",14,77,"33,29",15,EAST 174 STREET,186372,4,21351,BX0403,BX,Community,Mount Hope,X,AREA OF MINIMAL FLOOD HAZARD,,40.92611972
"MULTILINESTRING ((-73.90483122010069 40.844800341490846, -73.90483250034683 40.84484207139349))",2,Bronx,"205,204",15,86,33,15,CLAY AVENUE,186386,4,20552,BX0502,BX,Community,"Claremont Village-Claremont (East),Mount Hope",X,AREA OF MINIMAL FLOOD HAZARD,,15.20790117
"MULTILINESTRING ((-73.99066312016575 40.591167166603405, -73.99147342210368 40.59044930557618))",3,Brooklyn,"311,313",43,47,"23,22",11,26 AVENUE,186606,5,10858,BK1103,BK,Baseline,"Gravesend (West),Gravesend (South)",X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2,345.0328318
"MULTILINESTRING ((-74.14674691009529 40.54296325505154, -74.14595159013584 40.54246606054071))",5,Staten Island,503,51,64,24,11,NELSON AVENUE,186598,5,76149,SI0302,SI,Baseline,Great Kills-Eltingville,X,AREA OF MINIMAL FLOOD HAZARD,5,285.7857641
"MULTILINESTRING ((-74.14595159013584 40.54246606054071, -74.14590266208648 40.542428552687994))",5,Staten Island,503,51,64,24,11,NELSON AVENUE,186599,5,76149,SI0302,SI,Baseline,Great Kills-Eltingville,X,AREA OF MINIMAL FLOOD HAZARD,"2,4,5",19.2785262
"MULTILINESTRING ((-74.00879080555238 40.74237514311575, -74.00861244327112 40.743211205203885))",1,Manhattan,"104,102",3,"66,75",27,10,11 AVENUE,109522,3,30899,MN0401,MN,Neighborhood,"West Village,Chelsea-Hudson Yards",AE,,"1,2",308.5877856
"MULTILINESTRING ((-73.98321649744216 40.69590375370503, -73.98324789935647 40.69519238123107))",3,Brooklyn,302,35,"57,52",25,8,GOLD STREET,186630,4,2331,BK0202,BK,Community,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",259.3202406
"MULTILINESTRING ((-74.00762904186809 40.72349770377275, -74.00791206090729 40.72369976706067))",1,Manhattan,"101,102","3,1",66,"26,27",10,CANAL STREET,106026,3,30183,MN0102,MN,Neighborhood,"Tribeca-Civic Center,SoHo-Little Italy-Hudson Square",AE,,2,107.5810351
"MULTILINESTRING ((-74.0044846359433 40.724896354586136, -74.00437244443239 40.725371619686726))",1,Manhattan,102,3,66,"26,27",10,AVENUE OF THE AMERICAS,296132,2,30642,MN0201,MN,Regional,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,4,175.9239777
"MULTILINESTRING ((-74.00437244443239 40.725371619686726, -74.00403067968269 40.72551249518789))",1,Manhattan,102,3,66,"26,27",10,AVENUE OF THE AMERICAS,296133,2,30642,MN0201,MN,Regional,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,4,107.7395188
"MULTILINESTRING ((-74.00437244443239 40.725371619686726, -74.004551934319 40.72555881595647))",1,Manhattan,102,3,66,27,10,AVENUE OF THE AMERICAS,296159,2,30642,MN0201,MN,Regional,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,4,84.41861458
"MULTILINESTRING ((-73.9899704341117 40.73537089179315, -73.98986198889538 40.735326099142014))",1,Manhattan,105,2,"74,75","28,27",12,EAST 15 STREET,283287,3,32213,MN0602,MN,Neighborhood,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,34.1987565
"MULTILINESTRING ((-73.98987421380659 40.73540825804987, -73.98945472120609 40.73598724691183))",1,Manhattan,105,2,"74,75",28,12,UNION SQUARE EAST,164378,1,32268,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,240.8579126
"MULTILINESTRING ((-73.98986198889538 40.735326099142014, -73.98987421380659 40.73540825804987))",1,Manhattan,105,2,"74,75","28,27",12,UNION SQUARE EAST,164377,1,32268,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,30.12419431
"MULTILINESTRING ((-73.98987421380659 40.73540825804987, -73.98945472120609 40.73598724691183))",1,Manhattan,105,2,"74,75",28,12,UNION SQUARE EAST,164378,1,32268,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,240.8579126
"MULTILINESTRING ((-73.98987421380659 40.73540825804987, -73.98945472120609 40.73598724691183))",1,Manhattan,105,2,"74,75",28,12,UNION SQUARE EAST,164378,1,32268,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,240.8579126
"MULTILINESTRING ((-73.88600814727191 40.63628498520701, -73.88594417752888 40.636226810338776))",3,Brooklyn,318,46,59,19,8,EAST 102 STREET,186744,5,18665,BK1803,BK,Baseline,"Canarsie,Canarsie Park & Pier",X,AREA OF MINIMAL FLOOD HAZARD,"2,3",27.64847221
"MULTILINESTRING ((-74.00836775262137 40.75030818612698, -74.0083125978633 40.75060170011718, -74.00824071078566 40.75089354212701, -74.00815225684981 40.751182880046166, -74.00804748441978 40.751468906065824, -74.00792671173926 40.751750827674805))",1,Manhattan,104,3,75,27,10,JOE DIMAGGIO HIGHWAY,33352,3,31853,MN0401,MN,Neighborhood,Chelsea-Hudson Yards,AE,,1,540.6290787
"MULTILINESTRING ((-73.7933105136888 40.71119273627595, -73.79303800041971 40.71071107538048))",4,Queens,"412,408","27,24",24,11,"6,5",169 STREET,186809,3,49554,QN0804,QN,Neighborhood,"Jamaica Estates-Holliswood,Jamaica Hills-Briarwood,Jamaica",X,AREA OF MINIMAL FLOOD HAZARD,,191.055892
"MULTILINESTRING ((-73.7937479615915 40.712073304278654, -73.7933105136888 40.71119273627595))",4,Queens,408,24,24,11,6,169 STREET,186808,5,49885,QN0805,QN,Baseline,Jamaica Hills-Briarwood,X,AREA OF MINIMAL FLOOD HAZARD,,342.974482
"MULTILINESTRING ((-73.77633992998014 40.686913817692144, -73.77616282300878 40.686607747965766))",4,Queens,412,27,32,14,5,171 STREET,186810,5,58049,QN1203,QN,Baseline,Baisley Park,X,AREA OF MINIMAL FLOOD HAZARD,5,121.8486599
"MULTILINESTRING ((-74.0076659832628 40.752424072388685, -74.00740710309148 40.75314319708648))",1,Manhattan,104,3,75,27,10,12 AVENUE,33406,4,31848,MN0401,MN,Community,Chelsea-Hudson Yards,AE,,1,271.6409051
"MULTILINESTRING ((-74.00345314049393 40.75903390301103, -74.00329925559969 40.75924392234424))",1,Manhattan,104,3,75,27,10,12 AVENUE,184090,4,31835,MN0401,MN,Community,Chelsea-Hudson Yards,AE,,"1,2",87.59155564
"MULTILINESTRING ((-73.81182063708165 40.72577823303611, -73.81083344731269 40.725754671761635))",4,Queens,408,24,25,14,6,75 ROAD,279754,5,48334,QN0801,QN,Baseline,Kew Gardens Hills,X,AREA OF MINIMAL FLOOD HAZARD,,273.7576197
"MULTILINESTRING ((-73.84651248157911 40.78682428287268, -73.84652900636459 40.78685215471696, -73.8465564479103 40.78687627879494, -73.84659192548017 40.786893309499916, -73.84663064106867 40.78690157811217))",4,Queens,407,19,27,11,14,BEECH COURT CIRCLE,84730,5,44700,QN0701,QN,Baseline,College Point,X,AREA OF MINIMAL FLOOD HAZARD,,45.51302765
"MULTILINESTRING ((-73.74302713313014 40.69786744808588, -73.74294378268682 40.69788797202792))",4,Queens,413,27,33,14,5,116 AVENUE,186849,5,62624,QN1304,QN,Baseline,Cambria Heights,X,AREA OF MINIMAL FLOOD HAZARD,,24.29171105
"MULTILINESTRING ((-74.24899157129676 40.51288183476072, -74.24824136338836 40.512065812288604))",5,Staten Island,503,51,62,24,11,TYRRELL STREET,198,5,79425,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",363.180533
"MULTILINESTRING ((-73.88414034994874 40.76444234444072, -73.88400320962292 40.763689214142794))",4,Queens,403,22,35,13,14,85 STREET,186934,4,39679,QN0301,QN,Community,East Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,6,277.0075903
"MULTILINESTRING ((-74.00038791501026 40.762580968612774, -73.99965105852513 40.76311591330775))",1,Manhattan,104,3,67,31,10,12 AVENUE,33618,3,31994,MN0402,MN,Neighborhood,Hell's Kitchen,AE,,"1,2",282.2262217
"MULTILINESTRING ((-73.9990475002816 40.763656644668686, -73.99873440293365 40.764074399937776))",1,Manhattan,104,3,67,31,10,12 AVENUE,251650,4,32097,MN0402,MN,Community,Hell's Kitchen,AE,,"1,2",175.1799568
"MULTILINESTRING ((-73.99873440293365 40.764074399937776, -73.9985803447486 40.764279950812174))",1,Manhattan,104,3,67,31,10,12 AVENUE,251651,4,32097,MN0402,MN,Community,Hell's Kitchen,AE,,"1,2,3",86.19524016
